module_id,module_folder,main_capability,main_input_tables,main_result_files,main_figure_files,required_packages,uses_bioconductor,scientific_boundary
01,01_rf_correlation_heatmap,"Random-forest feature screening and contaminant/environment correlation visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/environmental_variables.csv; data/toy_shared/abundance_table.csv; data/toy_shared/taxonomy_table.csv; data/toy_shared/functional_annotation_table.csv","results/relative_abundance_by_feature.csv; results/selected_feature_abundance.csv; results/correlation_results.csv; results/rf_importance.csv; results/rf_model_performance.csv; results/heatmap_plotting_table.csv","figures/correlation_heatmap.pdf; figures/correlation_heatmap.png; figures/rf_importance_plot.pdf; figures/rf_importance_plot.png; figures/rf_correlation_combined.pdf; figures/rf_correlation_combined.png","ggplot2; randomForest; patchwork",FALSE,"Toy-data workflow demonstration only; correlations and RF importance are not biological conclusions."
02,02_microbe_env_network,"Microbe-environment association network construction","data/toy_shared/sample_metadata.csv; data/toy_shared/environmental_variables.csv; data/toy_shared/abundance_table.csv; data/toy_shared/taxonomy_table.csv","results/relative_abundance_by_feature.csv; results/taxon_abundance_by_sample.csv; results/microbe_env_correlation_results.csv; results/microbe_env_corr_matrix.csv; results/network_edge_list.csv; results/network_node_list.csv; results/network_summary.csv","figures/microbe_env_network.pdf; figures/microbe_env_network.png","igraph",FALSE,"Toy-data association map only; network edges are not causal evidence."
03,03_ternary_taxa_distribution,"Ternary visualization of taxon distribution across contaminant-context groups","data/toy_shared/sample_metadata.csv; data/toy_shared/abundance_table.csv; data/toy_shared/taxonomy_table.csv","results/relative_abundance_by_feature.csv; results/group_mean_abundance_by_Genus.csv; results/ternary_plotting_table_Genus.csv","figures/ternary_taxa_distribution.pdf; figures/ternary_taxa_distribution.png","ggtern",FALSE,"Toy-data visualization only; ternary positions are not site-level biological findings."
04,04_faprotax_functional_profile,"FAPROTAX-style functional profile visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/functional_annotation_table.csv","results/functional_relative_abundance_by_sample.csv; results/functional_unweighted_percent_by_sample.csv; results/functional_group_summary.csv; results/functional_bubble_plotting_table.csv; results/functional_zscore_bubble_plotting_table.csv; results/functional_barplot_table.csv","figures/faprotax_function_bubble_profile.pdf; figures/faprotax_function_bubble_profile.png; figures/faprotax_zscore_bubble_profile.pdf; figures/faprotax_zscore_bubble_profile.png; figures/faprotax_group_barplot.pdf; figures/faprotax_group_barplot.png","ggplot2",FALSE,"Simulated functional annotations only; not real FAPROTAX database output."
05,05_lefse_biomarker,"LEfSe-style biomarker visualization from toy community data","data/toy_shared/sample_metadata.csv; data/toy_shared/abundance_table.csv; data/toy_shared/taxonomy_table.csv","results/taxon_relative_abundance_by_sample.csv; results/lefse_candidate_statistics.csv; results/lefse_biomarker_table.csv; results/lefse_barplot_plotting_table.csv; results/kw_abundance_plotting_table.csv; results/cladogram_node_table.csv; results/cladogram_edge_table.csv; results/cladogram_label_table.csv; results/biomarker_group_heatmap_table.csv","figures/lefse_biomarker_barplot.pdf; figures/lefse_biomarker_barplot.png; figures/lefse_cladogram.pdf; figures/lefse_cladogram.png; figures/lefse_barplot_cladogram_combined.pdf; figures/lefse_barplot_cladogram_combined.png; figures/lefse_kw_abundance_plot.pdf; figures/lefse_kw_abundance_plot.png; figures/lefse_lda_kw_combined.pdf; figures/lefse_lda_kw_combined.png; figures/biomarker_group_heatmap.pdf; figures/biomarker_group_heatmap.png","ggplot2; microeco; gridExtra; patchwork",FALSE,"Toy-data biomarker-style workflow only; selected taxa are not real biomarkers."
06,06_plspm_mechanism_model,"PLS-PM mechanism-oriented path-model visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/environmental_variables.csv; data/toy_shared/abundance_table.csv; data/toy_shared/functional_annotation_table.csv","results/plspm_model_input_table.csv; results/plspm_scaled_input_table.csv; results/plspm_path_matrix.csv; results/plspm_latent_variable_blocks.csv; results/plspm_path_coefficients.csv; results/plspm_inner_model.csv; results/plspm_inner_summary.csv; results/plspm_outer_model.csv; results/plspm_effects.csv; results/plspm_latent_scores.csv; results/plspm_model_metrics.csv","figures/plspm_inner_path_model.pdf; figures/plspm_inner_path_model.png; figures/plspm_outer_loadings.pdf; figures/plspm_outer_loadings.png; figures/plspm_outer_weights.pdf; figures/plspm_outer_weights.png; figures/plspm_total_effects.pdf; figures/plspm_total_effects.png","plspm",FALSE,"Toy-data model-structure demonstration only; path coefficients are not causal evidence."
07,07_differential_volcano_heatmap,"DESeq2-style differential abundance visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/abundance_table.csv; data/toy_shared/taxonomy_table.csv","results/taxon_count_matrix.csv; results/deseq2_all_contrasts.csv; results/deseq2_tailing_vs_control.csv; results/deseq2_mining_vs_control.csv; results/deseq2_smelting_vs_control.csv; results/heatmap_zscore_matrix.csv; results/heatmap_selected_taxa.csv","figures/volcano_tailing_vs_control.pdf; figures/volcano_tailing_vs_control.png; figures/volcano_mining_vs_control.pdf; figures/volcano_mining_vs_control.png; figures/volcano_smelting_vs_control.pdf; figures/volcano_smelting_vs_control.png; figures/deseq2_volcano_combined.pdf; figures/deseq2_volcano_combined.png; figures/differential_heatmap.pdf; figures/differential_heatmap.png; figures/differential_circular_heatmap.pdf; figures/differential_circular_heatmap.png","DESeq2; ggplot2; ggrepel; patchwork; ComplexHeatmap; circlize",TRUE,"Toy-data differential workflow only; DESeq2-style outputs are not real biological results."
08,08_kegg_enrichment,"KEGG-style functional enrichment visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/functional_annotation_table.csv","results/ko_count_matrix.csv; results/differential_ko_statistics.csv; results/foreground_ko_list.csv; results/kegg_pathway_enrichment_result.csv; results/kegg_module_enrichment_result.csv","figures/kegg_pathway_enrichment_combined.pdf; figures/kegg_pathway_enrichment_combined.png; figures/kegg_module_enrichment_combined.pdf; figures/kegg_module_enrichment_combined.png; figures/kegg_pathway_bubble_plot.pdf; figures/kegg_pathway_bubble_plot.png","DESeq2; clusterProfiler; enrichplot; ggplot2; patchwork",TRUE,"Simulated KO universe and toy TERM2GENE workflow by default; not real KEGG inference."
09,09_sulfur_gene_contaminant_association,"Sulfur-cycle gene association analysis against contaminant and soil gradients","data/toy_shared/environmental_variables.csv; data/toy_shared/functional_annotation_table.csv","results/sulfur_gene_abundance_by_sample.csv; results/sulfur_gene_contaminant_analysis_table.csv; results/pearson_results.csv; results/mlr_results.csv","figures/fig1_pearson_heatmap.pdf; figures/fig1_pearson_heatmap.png; figures/fig2_pearson_scatter.pdf; figures/fig2_pearson_scatter.png; figures/fig3_mlr_results.pdf; figures/fig3_mlr_results.png","dplyr; tidyr; tibble; ggplot2; ggcorrplot; ggrepel; patchwork",FALSE,"Toy sulfur indicators only; correlations and regressions are workflow examples."
10,10_alpha_beta_diversity,"Alpha/beta diversity visualization for soil microbial community structure","data/toy_shared/sample_metadata.csv; data/toy_shared/abundance_table.csv","results/alpha_diversity_indices.csv; results/alpha_diversity_pairwise_tests.csv; results/pcoa_coordinates.csv; results/nmds_coordinates.csv; results/permanova_results.csv; results/beta_pairwise_distances.csv; results/beta_distance_by_sample_group.csv","figures/fig1_alpha_diversity_boxplots.pdf; figures/fig1_alpha_diversity_boxplots.png; figures/fig2_pcoa_bray_curtis.pdf; figures/fig2_pcoa_bray_curtis.png; figures/fig3_nmds_bray_curtis.pdf; figures/fig3_nmds_bray_curtis.png; figures/fig4_beta_distance_boxplot.pdf; figures/fig4_beta_distance_boxplot.png","vegan; ggplot2; ggpubr; patchwork; gghalves; ggsignif",FALSE,"Toy diversity workflow only; ordination and tests are not ecological conclusions."
11,11_vpa_mantel_partitioning,"VPA and Mantel-style environmental partitioning visualization","data/toy_shared/sample_metadata.csv; data/toy_shared/environmental_variables.csv; data/toy_shared/abundance_table.csv; data/toy_shared/functional_annotation_table.csv","results/species_response_matrix.csv; results/function_response_matrix.csv; results/vpa_fraction_table.csv; results/partial_rda_tests.csv; results/mantel_results.csv; results/environment_spearman_correlation.csv","figures/fig1_vpa_combined.pdf; figures/fig1_vpa_combined.png; figures/fig2_mantel_env_correlation.pdf; figures/fig2_mantel_env_correlation.png","vegan; ggplot2; ggcor; dplyr",FALSE,"Toy VPA/Mantel workflow only; fractions and statistics are not real ecological evidence."
